,히키,김나영,김효은,영탁,박봄,성시경,유노윤호,보이비,저스디스,박보람,젝스키스,오반,펜타곤,키드밀리,동해,New Hope Club,이찬원,장혜진,강민경,백현,황치열,강민수,이수영,Coogie,Lauv,김길중,Maroon 5,최강창민,존박,나플라,매드클라운,정효빈,Coldplay,곽진언,백지영,앤씨아,검정치마,자이언티,전소미,비투비,EXO,윤미래,하동균,이병재,Lukas Graham,세정,Juice WRLD,모트,장범준,양요섭,PRODUCE X 101,브라더수,이승철,오왠,사이먼 도미닉,The Chainsmokers,치타,민현,Sia,에픽하이,EK,비와이,버스커 버스커,펀치넬로,AOA,Josh Gad,Sondia,Sondia,신화,CHEEZE,김현성,이석훈,양다일,Jvcki Wai,규현,세븐틴,Zedd,육성재,제니,이수현,윤종신,Charli XCX,송하예,Young B,웬디,시우민,박보검,신승훈,Conan Gray,Mena Massoud,P.O,에피톤 프로젝트,(여자)아이들,찬열,브라운 아이드 걸스,혁오,헨리,핑클,길구봉구,린,유산슬,빈첸,SUGA,X1,윤민수,코드 쿤스트,반하나,Liam Payne,로이킴,이해리,우디,강현준,크러쉬,로시,하은,수란,FTISLAND,윤하,로꼬,빅스,몬스타엑스,Sam Smith,기리보이,최진호,최진호,다비치,Idina Menzel,이수,키,민서,효린,Danna Paola,여자친구,Zara Larsson,CHANGMO,러블리즈,서동현,보이프렌드,전상근,Adam Levine,헤이즈,은지원,이하이,김범수,Khalid,GRAY,Osshun Gum,The Weeknd,남우현,John Legend,최자,약속,개코,염따,딥플로우,Kid Milli,CL,윤건,닐로,WINNER,우주소녀,그리즐리,박효신,Etham,pH-1,나얼,빅뱅,포맨,nafla,이문세,임한별,태용,벤,뉴이스트 W,지구인,BLACKPINK,펀치,이용신,김재환,ITZY,산다라박,박다혜,이예준,Jonas Brothers,양희은,샘김,엠씨더맥스,Wanna One,장민호,EXID,문성욱,문성욱,타이거JK,SG워너비,GroovyRoom,펭수,V,윤지성,Social House,임영웅,10cm,김호중,김동률,천단비,박성연,DPR LIVE,정준일,케이시,Jonathan Groff,AB6IX,스텔라장,NCT 127,NO:EL,박원,노을,스웨덴세탁소,박지훈,Charlie Puth,거미,피아노맨,Arizona Zervas,이민혁,AURORA,릴러말즈,송민재,이창섭,로코베리,지코,임창정,빈지노,Naomi Scott,먼데이 키즈,Mariah Carey,Will Smith,KCM,ASH ISLAND,5 Seconds of Summer,샤이니,수퍼비,DAY6,UMI,산들,코드쿤스트,유승우,짱유,JINU,창모,창모,IZ*ONE,백아연,볼빨간사춘기,김필,신예영,HYNN,아스트로,Kristen Bell,팔로알토,WH3N,영비,적재,이진혁,EXO-CBX,휘인,Shawn Mendes,정은지,마크툽,iKON,Selena Gomez,문문,그루비룸,숀,멜로망스,개리,스윙스,크레파스,스탠딩 에그,가호,에일리,가비엔제이,첸,소유,Aurora,홍진영,에이트,god,Ariana Grande,이우,GOT7,황인욱,레드벨벳,박재범,케이윌,에릭남,정동원,백예린,이소라,SF9,Dan + Shay,갓츄,권영훈,하현우,이영지,엔플라잉,Mike Perry,Halsey,UNEDUCATED KID,Sik-K,에이프릴 세컨드,방탄소년단,방탄소년단,모모랜드,NCT DREAM,Woodie Gochild,Imagine Dragons,한요한,Martin Garrix,Straight No Chaser,도영,폴킴,DEAN,오마이걸,조정석,태연,스무살,Steve Aoki,서은광,진민호,MINO,씨야,Dua Lipa,Farruko,에이핑크,하진,이대휘,솔라,서인국,배연서,Anne-Marie,권진아,Taylor Swift,Camila Cabello,Troye Sivan,임재현,정승환,비지,박경,어쿠스틱 콜라보,용준형,디오,지아,슈퍼주니어,김수찬,Billie Eilish,정세운,Hash Swan,D.Ark,세훈,Tones And I,에이프릴,Ed Sheeran,악동뮤지션,Disclosure,여은,Sabrina Carpenter,Adele,플라이 투 더 스카이,박우진,Harry Styles,윤딴딴,수호,조이,Marshmello,Michael Buble,슬기,슬기,승리,양승호,태민,SUPERBEE,FANXY CHILD,김민규,휘성,김지수,선미,Alan Walker,정인,권순일,Christopher,비,바닐라 어쿠스틱,예리,장덕철,박진영,뉴이스트,먼데이키즈,허각,맴맴,V.O.S,Alessia Cara,Evan Rachel Wood,바이브,박재정,프리스타일,윤비,다이나믹 듀오,Carla Bruni,Justin Bieber,Queen,인피니트,송민호,Post Malone,VICTON,청하,Kiana Lede,OLNL,현아,차붐,블랙넛,화사,카더가든,Ruel,백호,김민석,임현식,보아,하이라이트,아이유,마마무,이동은,HIGH4,MC몽,루피,TWICE,브라운 아이드 소울,정기고,Jeremy Zucker,잔나비,Pink Sweat$,Pink Sweat$,새벽 한 시,김동준,Doja Cat,한동근,넬,문별,박혜나,어반 자카파,요셉,최엘비,StevieWonder,AndraDay,오담률,옹성우,SwaeLee,마미손,투모로우바이투게더,강다니엘,에이치코드,김하온,소녀시대,우원재,송이한,공기남,애즈원,하성운,보라미유,빈센트블루,송가인
2018-07-01,30.0,14.0,9.0,0.0,5.0,75.0,19.0,27.0,26.0,60.0,40.0,47.0,12.0,12.0,56.0,32.0,0.0,6.0,30.0,71.0,19.0,39.0,6.0,0.0,10.0,13.0,98.0,12.0,51.0,3.0,3.0,0.0,64.0,66.0,64.0,33.0,11.0,9.0,18.0,83.0,26.0,44.0,13.0,11.0,0.0,36.0,2.0,38.0,4.0,16.0,0.0,0.0,46.0,0.0,41.0,26.0,68.0,86.0,25.0,30.0,46.0,28.0,22.0,0.0,54.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-08,0.0,12.0,0.0,0.0,4.0,58.0,19.0,27.0,9.0,61.0,13.0,37.0,26.0,3.0,53.0,22.0,0.0,6.0,35.0,52.0,28.0,39.0,15.0,0.0,31.0,0.0,25.0,0.0,0.0,3.0,4.0,0.0,58.0,83.0,71.0,0.0,0.0,18.0,27.0,100.0,63.0,55.0,17.0,14.0,0.0,46.0,2.0,40.0,4.0,0.0,0.0,0.0,54.0,13.0,41.0,38.0,87.0,76.0,55.0,15.0,49.0,20.0,11.0,8.0,42.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-15,31.0,13.0,18.0,0.0,10.0,78.0,25.0,55.0,18.0,31.0,7.0,39.0,27.0,13.0,45.0,0.0,0.0,10.0,23.0,54.0,34.0,0.0,34.0,0.0,11.0,0.0,76.0,6.0,43.0,0.0,6.0,0.0,47.0,51.0,30.0,35.0,12.0,18.0,19.0,100.0,56.0,43.0,22.0,15.0,37.0,30.0,6.0,22.0,0.0,42.0,0.0,0.0,77.0,26.0,34.0,53.0,39.0,49.0,41.0,8.0,25.0,27.0,23.0,0.0,39.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-22,100.0,18.0,9.0,1.0,4.0,64.0,14.0,0.0,17.0,42.0,33.0,33.0,34.0,13.0,65.0,0.0,0.0,13.0,32.0,100.0,25.0,0.0,9.0,0.0,25.0,0.0,66.0,12.0,31.0,7.0,4.0,0.0,32.0,33.0,44.0,100.0,0.0,0.0,11.0,71.0,42.0,41.0,9.0,37.0,35.0,55.0,4.0,33.0,6.0,49.0,0.0,51.0,58.0,13.0,58.0,26.0,31.0,38.0,69.0,22.0,28.0,22.0,0.0,0.0,10.0,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-29,20.0,13.0,9.0,0.0,6.0,52.0,29.0,27.0,17.0,24.0,13.0,14.0,100.0,13.0,65.0,22.0,0.0,10.0,67.0,58.0,25.0,0.0,6.0,0.0,41.0,0.0,41.0,18.0,62.0,9.0,3.0,36.0,32.0,33.0,59.0,33.0,23.0,9.0,32.0,90.0,37.0,17.0,9.0,9.0,0.0,33.0,2.0,40.0,3.0,32.0,0.0,0.0,51.0,13.0,74.0,77.0,37.0,87.0,51.0,15.0,14.0,33.0,0.0,0.0,18.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-05,39.0,13.0,8.0,0.0,5.0,34.0,19.0,26.0,8.0,35.0,32.0,18.0,46.0,9.0,65.0,42.0,0.0,0.0,50.0,75.0,22.0,0.0,26.0,0.0,30.0,0.0,72.0,6.0,50.0,4.0,3.0,0.0,31.0,48.0,50.0,32.0,0.0,4.0,19.0,68.0,40.0,13.0,8.0,19.0,0.0,32.0,2.0,30.0,1.0,31.0,0.0,0.0,45.0,12.0,72.0,37.0,48.0,56.0,74.0,11.0,24.0,33.0,0.0,0.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-12,30.0,19.0,0.0,0.0,5.0,35.0,33.0,26.0,43.0,54.0,20.0,19.0,32.0,22.0,58.0,0.0,0.0,19.0,45.0,61.0,28.0,19.0,3.0,0.0,20.0,0.0,49.0,18.0,41.0,0.0,6.0,0.0,58.0,33.0,67.0,0.0,11.0,4.0,27.0,61.0,45.0,16.0,38.0,11.0,35.0,36.0,3.0,42.0,1.0,57.0,0.0,0.0,35.0,13.0,49.0,26.0,62.0,57.0,43.0,7.0,25.0,28.0,11.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-19,29.0,19.0,8.0,1.0,3.0,56.0,33.0,0.0,0.0,29.0,19.0,36.0,41.0,49.0,37.0,0.0,0.0,31.0,29.0,63.0,19.0,0.0,3.0,0.0,20.0,0.0,40.0,6.0,40.0,7.0,5.0,0.0,63.0,0.0,62.0,0.0,17.0,17.0,100.0,66.0,40.0,11.0,8.0,6.0,0.0,33.0,2.0,50.0,3.0,39.0,0.0,0.0,45.0,0.0,32.0,37.0,54.0,28.0,36.0,14.0,27.0,18.0,0.0,0.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-26,59.0,13.0,9.0,1.0,3.0,28.0,28.0,39.0,68.0,53.0,39.0,18.0,18.0,21.0,48.0,0.0,0.0,22.0,27.0,85.0,33.0,19.0,14.0,0.0,10.0,12.0,32.0,12.0,51.0,10.0,8.0,35.0,32.0,0.0,50.0,0.0,6.0,100.0,19.0,66.0,34.0,16.0,8.0,11.0,0.0,27.0,2.0,37.0,5.0,32.0,0.0,0.0,46.0,12.0,32.0,25.0,67.0,75.0,57.0,22.0,21.0,18.0,0.0,0.0,27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02,69.0,8.0,13.0,0.0,4.0,40.0,33.0,26.0,17.0,18.0,20.0,14.0,16.0,43.0,45.0,22.0,0.0,16.0,31.0,86.0,14.0,0.0,12.0,0.0,15.0,13.0,65.0,6.0,51.0,45.0,31.0,0.0,77.0,0.0,58.0,33.0,0.0,26.0,18.0,60.0,39.0,14.0,13.0,6.0,70.0,32.0,2.0,33.0,5.0,40.0,0.0,0.0,54.0,13.0,24.0,25.0,55.0,19.0,47.0,11.0,24.0,22.0,11.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-09,50.0,8.0,22.0,0.0,2.0,69.0,62.0,26.0,35.0,36.0,59.0,23.0,61.0,59.0,42.0,21.0,0.0,6.0,14.0,64.0,33.0,19.0,15.0,60.0,51.0,13.0,33.0,0.0,82.0,100.0,50.0,0.0,19.0,66.0,54.0,0.0,17.0,31.0,13.0,45.0,39.0,16.0,13.0,11.0,53.0,27.0,2.0,19.0,4.0,48.0,0.0,0.0,54.0,0.0,41.0,25.0,37.0,38.0,43.0,18.0,35.0,16.0,0.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-16,61.0,6.0,13.0,0.0,2.0,42.0,10.0,0.0,18.0,86.0,81.0,10.0,32.0,61.0,34.0,22.0,0.0,16.0,15.0,72.0,37.0,0.0,6.0,62.0,21.0,0.0,50.0,12.0,21.0,73.0,100.0,73.0,33.0,68.0,62.0,0.0,17.0,13.0,26.0,26.0,36.0,8.0,9.0,29.0,0.0,33.0,0.0,53.0,3.0,50.0,0.0,0.0,71.0,13.0,42.0,52.0,38.0,29.0,63.0,4.0,50.0,33.0,11.0,8.0,14.0,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-23,22.0,11.0,19.0,0.0,5.0,44.0,41.0,0.0,56.0,66.0,100.0,20.0,21.0,81.0,40.0,35.0,1.0,7.0,38.0,76.0,39.0,0.0,16.0,65.0,33.0,0.0,44.0,19.0,67.0,88.0,48.0,0.0,28.0,36.0,50.0,36.0,24.0,10.0,46.0,45.0,32.0,6.0,18.0,18.0,0.0,32.0,4.0,79.0,2.0,0.0,0.0,55.0,58.0,14.0,36.0,42.0,47.0,21.0,35.0,20.0,61.0,22.0,0.0,0.0,24.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,30.0,13.0,22.0,1.0,4.0,64.0,33.0,26.0,78.0,48.0,86.0,33.0,18.0,100.0,42.0,22.0,0.0,16.0,46.0,45.0,49.0,19.0,23.0,30.0,15.0,0.0,49.0,12.0,41.0,46.0,44.0,0.0,38.0,98.0,75.0,33.0,17.0,13.0,16.0,26.0,33.0,19.0,21.0,8.0,35.0,31.0,2.0,44.0,4.0,40.0,0.0,0.0,50.0,0.0,41.0,25.0,43.0,38.0,47.0,7.0,31.0,38.0,0.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07,32.0,13.0,41.0,0.0,4.0,61.0,25.0,28.0,36.0,13.0,35.0,25.0,19.0,76.0,36.0,57.0,0.0,0.0,41.0,58.0,23.0,20.0,15.0,63.0,33.0,0.0,35.0,25.0,33.0,57.0,19.0,0.0,55.0,35.0,75.0,0.0,0.0,28.0,17.0,30.0,34.0,15.0,0.0,18.0,0.0,40.0,0.0,50.0,6.0,17.0,0.0,0.0,49.0,27.0,26.0,27.0,13.0,51.0,54.0,19.0,60.0,34.0,0.0,0.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14,52.0,6.0,100.0,1.0,2.0,24.0,20.0,55.0,36.0,26.0,42.0,0.0,15.0,62.0,50.0,0.0,0.0,17.0,36.0,67.0,14.0,0.0,6.0,31.0,16.0,0.0,51.0,6.0,43.0,83.0,13.0,0.0,40.0,34.0,45.0,35.0,6.0,74.0,17.0,44.0,46.0,17.0,18.0,18.0,37.0,25.0,4.0,47.0,2.0,34.0,0.0,0.0,81.0,0.0,17.0,40.0,33.0,100.0,49.0,19.0,59.0,36.0,0.0,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-21,82.0,14.0,72.0,1.0,2.0,48.0,34.0,0.0,80.0,25.0,48.0,19.0,8.0,71.0,40.0,0.0,0.0,7.0,23.0,33.0,23.0,0.0,12.0,0.0,21.0,0.0,68.0,25.0,32.0,59.0,19.0,0.0,53.0,34.0,67.0,0.0,6.0,27.0,17.0,26.0,60.0,6.0,9.0,0.0,73.0,39.0,2.0,17.0,2.0,0.0,0.0,0.0,40.0,0.0,17.0,27.0,26.0,69.0,45.0,15.0,76.0,27.0,0.0,0.0,39.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
